序号,站点名称,所在设区市,所在县(市、区),流域,水系,水体,检测时间,水温(℃),pH,溶解氧(mg/L),浊度(NTU),电导率(uS/cm),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
1737,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 08,15.5,7.55,10.52,8.6,181.0,1.5,0.04,0.034,1.82
1738,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 09,15.8,7.53,10.63,9.9,180.4,,,,
1739,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 10,17.0,7.58,10.25,9.9,179.3,,,,
1740,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 11,17.3,7.58,10.1,10.0,179.2,,,,
1741,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 12,16.1,7.57,10.65,8.1,180.2,1.6,0.03,0.032,1.73
1742,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 13,16.4,7.58,10.71,9.8,182.1,,,,
1743,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 14,17.6,7.63,10.25,10.9,181.1,,,,
1744,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 15,17.6,7.64,10.29,10.9,180.4,,,,
1745,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 16,16.3,7.62,10.83,8.8,180.5,1.6,0.03,0.033,1.7
1746,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 17,16.4,7.62,10.85,10.3,179.8,,,,
1747,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 18,17.8,7.69,10.4,11.1,179.1,,,,
1748,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 19,17.7,7.68,10.43,14.0,179.3,,,,
1749,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 20,16.2,7.63,10.84,9.5,180.3,1.6,0.03,0.035,1.72
1750,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 21,16.3,7.62,10.91,10.5,180.3,,,,
1751,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 22,17.5,7.7,10.44,11.7,180.2,,,,
1752,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-20 23,17.6,7.71,10.44,11.3,180.4,,,,
1753,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 00,16.1,7.63,10.78,9.6,180.2,1.5,0.02,0.033,1.76
1754,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 01,16.1,7.59,10.8,10.3,179.9,,,,
1755,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 02,17.3,7.62,10.27,10.3,179.2,,,,
1756,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 03,17.4,7.61,10.22,9.9,179.2,,,,
1757,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 04,16.0,7.56,10.61,8.5,179.9,1.5,0.08,0.03,1.74
1758,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 05,16.0,7.53,10.62,9.0,179.8,,,,
1759,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 06,17.0,7.6,10.26,10.2,172.8,,,,
1760,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 07,17.1,7.6,10.29,9.8,176.9,,,,
1761,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 08,16.0,7.57,10.62,8.5,178.0,1.5,1.02,0.03,1.72
1762,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 09,16.3,7.54,10.66,9.6,177.3,,,,
1763,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 10,17.7,7.62,10.19,9.8,176.4,,,,
1764,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 11,18.2,7.61,10.08,9.7,175.9,,,,
1765,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 12,16.5,7.61,10.66,8.8,180.5,1.5,0.04,0.03,1.75
1766,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 13,16.9,7.62,10.68,10.8,181.7,,,,
1767,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 14,18.2,7.68,10.2,10.2,180.3,,,,
1768,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 15,18.5,7.68,10.14,10.6,178.6,,,,
1769,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 16,16.7,7.69,10.88,9.5,180.2,1.6,0.03,0.033,1.7
1770,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 17,16.9,7.65,10.77,11.6,180.9,,,,
1771,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 18,18.1,7.73,10.33,13.7,182.3,,,,
1772,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 19,18.1,7.78,10.31,20.1,193.4,,,,
1773,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 20,16.7,7.75,10.72,21.7,190.1,1.6,0.03,0.056,1.68
1774,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 21,16.9,7.69,10.7,24.4,188.8,,,,
1775,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 22,18.1,7.72,10.23,15.3,178.6,,,,
1776,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-21 23,18.2,7.73,10.19,15.8,177.2,,,,
1777,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 00,16.8,7.7,10.55,22.7,186.6,1.7,0.03,0.067,1.68
1778,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 01,16.9,7.65,10.5,26.1,185.5,,,,
1779,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 02,18.1,7.68,9.99,24.0,183.7,,,,
1780,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 03,18.1,7.67,9.96,18.6,183.6,,,,
1781,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 04,16.7,7.62,10.29,15.0,184.6,1.6,0.08,0.058,1.7
1782,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 05,16.8,7.59,10.36,16.7,184.4,,,,
1783,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 06,18.0,7.66,9.94,17.2,180.7,,,,
1784,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 07,17.9,7.64,10.0,19.0,179.6,,,,
1785,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 08,16.7,7.6,10.31,15.4,181.7,1.6,0.05,0.055,1.75
1786,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 09,16.8,7.57,10.38,16.8,181.9,,,,
1787,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 10,18.1,7.63,9.94,18.3,181.7,,,,
1788,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 11,18.0,7.63,9.9,22.0,185.2,,,,
1789,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 12,16.9,7.61,10.13,28.6,190.4,1.8,0.04,0.074,1.81
1790,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 13,17.1,7.58,10.23,27.5,188.6,,,,
1791,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 14,18.4,7.66,9.91,26.5,186.8,,,,
1792,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 15,18.3,7.66,9.96,24.2,186.4,,,,
1793,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 16,16.9,7.63,10.36,19.4,185.4,1.8,0.05,0.072,1.8
1794,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 17,16.9,7.6,10.37,21.2,185.9,,,,
1795,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 18,18.2,7.69,10.14,19.8,183.4,,,,
1796,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 19,18.7,8.9,12.58,13.7,159.6,,,,
1797,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 20,18.1,9.05,13.24,7.4,160.4,1.7,0.05,0.032,1.57
1798,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 21,18.0,8.95,12.7,7.5,160.5,,,,
1799,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 22,18.4,8.9,11.94,8.6,160.8,,,,
1800,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-22 23,18.3,8.84,11.67,8.7,161.2,,,,
1801,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 00,17.6,8.86,12.27,7.8,162.3,1.9,0.05,0.027,1.5
1802,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 01,17.6,8.78,12.17,8.6,162.2,,,,
1803,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 02,18.4,8.8,11.48,9.3,163.2,,,,
1804,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 03,18.4,8.78,11.46,9.0,163.2,,,,
1805,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 04,17.5,8.78,12.06,8.1,163.7,1.8,0.09,0.024,1.52
1806,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 05,17.3,8.67,11.79,8.6,162.5,,,,
1807,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 06,18.0,8.76,11.6,9.2,162.6,,,,
1808,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 07,17.9,8.76,11.62,9.1,162.7,,,,
1809,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 08,17.2,8.8,12.31,7.9,163.0,1.7,0.05,0.021,1.43
1810,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 09,17.3,8.76,12.22,52.0,162.6,,,,
1811,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 10,18.2,8.9,12.12,13.7,162.2,,,,
1812,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 11,18.4,8.96,12.21,10.7,162.2,,,,
1813,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 12,17.6,9.03,13.17,9.8,162.6,2.1,0.06,0.035,1.53
1814,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 13,17.6,8.97,12.83,11.7,162.8,,,,
1815,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 14,17.8,8.04,10.51,15.4,176.6,,,,
1816,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 15,17.5,7.89,10.62,13.7,178.6,,,,
1817,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 16,16.5,7.78,10.91,13.4,178.1,1.8,0.05,0.037,1.61
1818,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 17,16.4,7.74,11.06,15.4,177.9,,,,
1819,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 18,17.2,7.81,10.72,12.9,176.5,,,,
1820,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 19,17.1,7.81,10.77,13.3,176.9,,,,
1821,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 20,16.3,7.76,11.02,11.4,178.3,1.7,0.04,0.034,1.87
1822,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 21,16.3,7.66,10.88,15.5,192.0,,,,
1823,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 22,17.1,7.74,10.58,13.7,190.0,,,,
1824,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-23 23,17.2,7.73,10.48,15.7,193.3,,,,
1825,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 00,16.5,7.7,10.63,15.0,191.3,1.7,0.06,0.043,1.78
1826,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 01,16.5,7.68,10.71,14.7,190.5,,,,
1827,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 02,17.2,7.76,10.51,13.6,188.9,,,,
1828,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 03,17.1,7.77,10.46,12.6,187.5,,,,
1829,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 04,16.5,7.69,10.35,10.1,187.9,1.6,0.09,0.037,1.7
1830,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 05,16.4,7.64,10.49,10.9,187.2,,,,
1831,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 06,16.9,7.69,10.32,12.2,178.2,,,,
1832,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 07,16.9,7.67,10.4,13.7,184.8,,,,
1833,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 08,16.2,7.61,10.42,11.4,184.9,1.7,0.05,0.039,1.68
1834,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 09,16.3,7.59,10.53,12.5,183.6,,,,
1835,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 10,17.0,7.65,10.26,12.3,189.8,,,,
1836,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 11,17.1,7.65,10.27,13.2,185.9,,,,
1837,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 12,16.3,7.61,10.39,12.0,181.5,1.7,0.05,0.039,1.68
1838,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 13,16.5,7.59,10.5,14.5,180.1,,,,
1839,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 14,17.5,7.64,10.11,15.7,181.0,,,,
1840,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 15,17.6,7.64,10.05,15.6,178.1,,,,
1841,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 16,16.1,7.62,10.8,14.9,179.3,0.2,0.04,0.203,4.91
1842,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 17,18.3,7.65,9.71,15.2,178.8,,,,
1843,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 18,17.7,7.63,9.95,14.6,178.3,,,,
1844,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 19,16.7,7.62,10.44,13.9,179.1,,,,
1845,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 20,16.2,7.58,10.49,13.0,188.3,2.3,0.19,0.076,1.76
1846,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 21,15.9,7.58,10.55,12.6,185.4,,,,
1847,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 22,17.3,7.62,10.03,13.8,181.6,,,,
1848,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-24 23,17.5,7.64,9.96,14.3,181.0,,,,
1849,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 00,16.3,7.62,10.3,14.2,180.0,2.0,0.06,0.05,1.65
1850,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 01,16.2,7.57,10.47,16.6,178.4,,,,
1851,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 02,17.2,7.64,10.1,16.3,177.3,,,,
1852,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 03,17.2,7.63,10.05,15.4,178.1,,,,
1853,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 04,16.0,7.6,10.31,12.3,178.5,1.9,0.06,0.05,1.6
1854,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 05,16.0,7.56,10.42,16.1,178.1,,,,
1855,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 06,17.0,7.62,10.08,15.1,177.5,,,,
1856,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 07,17.1,7.62,10.07,14.2,176.3,,,,
1857,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 08,16.1,7.57,10.16,11.8,177.4,1.9,0.04,0.048,1.75
1858,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 09,16.2,7.54,10.3,12.8,177.0,,,,
1859,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 10,16.2,7.56,9.99,14.7,190.6,1.9,0.08,0.046,1.74
1860,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 11,16.6,7.55,10.25,14.8,181.4,,,,
1861,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 12,16.5,7.59,10.3,13.2,176.6,2.2,0.06,0.049,1.61
1862,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 13,16.7,7.56,10.3,15.6,176.8,,,,
1863,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 14,17.7,7.63,9.99,15.3,175.1,,,,
1864,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 15,16.9,7.62,10.36,15.5,175.6,,,,
1865,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 16,16.8,7.68,10.73,21.0,173.9,2.2,0.05,0.054,1.45
1866,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 17,18.6,7.72,9.77,16.3,173.7,,,,
1867,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 18,16.9,7.65,10.41,15.3,173.5,,,,
1868,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 19,16.6,7.64,10.53,15.9,174.2,,,,
1869,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 20,16.7,7.65,10.49,12.2,179.2,2.0,0.05,0.051,1.66
1870,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 21,16.7,7.6,10.48,12.2,177.4,,,,
1871,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 22,18.0,7.64,9.92,13.2,177.9,,,,
1872,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-25 23,17.9,7.65,10.0,14.0,175.2,,,,
1873,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 00,16.4,7.6,10.36,13.0,174.2,1.9,0.05,0.044,1.53
1874,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 01,16.5,7.57,10.47,14.1,173.6,,,,
1875,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 02,17.8,7.64,9.96,13.8,173.0,,,,
1876,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 03,17.8,7.63,9.85,11.3,172.8,,,,
1877,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 04,16.4,7.6,10.15,8.9,172.9,1.9,0.11,0.047,1.59
1878,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 05,16.5,7.56,10.2,9.9,173.0,,,,
1879,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 06,17.7,7.64,9.76,9.7,170.4,,,,
1880,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 07,17.7,7.62,9.94,11.6,172.7,,,,
1881,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 08,16.4,7.57,10.23,10.7,173.5,1.8,0.04,0.044,1.56
1882,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 09,16.6,7.55,10.34,11.2,174.4,,,,
1883,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 10,18.0,7.62,9.88,11.1,173.9,,,,
1884,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 11,18.4,7.62,9.81,11.0,173.5,,,,
1885,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 12,17.5,8.25,11.47,9.8,171.1,1.8,0.04,0.042,1.53
1886,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 13,17.8,8.18,11.23,10.5,171.1,,,,
1887,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 14,19.3,8.38,10.98,10.6,170.2,,,,
1888,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 15,19.5,8.46,11.14,9.7,170.4,,,,
1889,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 16,18.1,8.56,12.21,8.9,171.1,1.7,0.03,0.036,1.52
1890,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 17,18.4,8.61,12.22,9.5,170.2,,,,
1891,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 18,19.6,8.55,11.27,9.6,170.1,,,,
1892,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 19,19.6,8.51,11.2,10.3,170.1,,,,
1893,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 20,17.8,8.47,11.82,8.8,170.9,1.9,0.03,0.036,1.61
1894,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 21,17.9,8.48,11.73,9.2,170.4,,,,
1895,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 22,19.3,8.47,10.98,8.9,169.8,,,,
1896,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-26 23,19.3,8.47,11.08,9.2,170.1,,,,
1897,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 00,17.7,8.39,11.57,8.6,171.2,2.0,0.03,0.032,1.49
1898,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 01,17.8,8.33,11.38,9.2,171.3,,,,
1899,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 02,19.2,8.3,10.69,9.6,170.8,,,,
1900,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 03,19.2,8.26,10.62,9.3,170.7,,,,
1901,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 04,17.7,8.22,11.12,8.3,171.6,1.9,0.09,0.029,1.56
1902,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 05,17.5,8.13,11.05,8.4,171.7,,,,
1903,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 06,18.5,8.08,10.43,8.0,171.2,,,,
1904,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 07,18.3,8.19,10.83,9.5,171.3,,,,
1905,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 08,17.3,8.18,11.21,9.6,171.8,1.8,0.04,0.032,1.41
1906,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 09,17.3,8.16,11.2,10.1,171.9,,,,
1907,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 10,18.3,8.21,10.87,10.2,171.3,,,,
1908,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 11,18.2,8.19,10.92,10.9,171.4,,,,
1909,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 12,17.2,8.2,11.31,9.8,172.1,1.9,0.04,0.034,1.43
1910,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 13,17.1,8.21,11.33,10.2,172.0,,,,
1911,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 14,17.9,8.22,10.97,10.4,172.0,,,,
1912,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 15,17.9,8.17,11.03,11.1,172.3,,,,
1913,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 16,16.9,8.15,11.32,10.2,172.7,1.8,0.04,0.035,1.52
1914,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 17,16.8,8.12,11.33,10.9,172.9,,,,
1915,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 18,17.7,8.15,10.98,10.6,172.2,,,,
1916,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 19,17.6,8.1,10.91,10.1,172.6,,,,
1917,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 20,16.7,8.04,11.14,9.5,172.9,1.9,0.04,0.033,1.5
1918,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 21,16.5,8.0,11.18,10.1,173.2,,,,
1919,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 22,17.4,8.04,10.85,9.8,172.7,,,,
1920,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-03-27 23,17.3,8.02,10.83,10.1,172.9,,,,
